Date,Label,HasPhishyKeywords,NumRecipients,GlobalURLRank,LocalURLFreq,RecipientLikelihood
2000-01-04 00:11:00,0,0,1,10000000,0,0.0
2000-01-04 04:11:00,0,0,1,10000000,0,0.0
2000-01-04 05:25:00,0,0,1,2802,0,0.0
2000-01-05 02:45:00,0,0,1,21039,0,0.0
2000-01-05 02:54:00,0,0,1,10000000,0,0.0
2000-01-05 04:57:00,0,0,1,415706,0,0.0
2000-01-05 09:51:00,0,0,1,10000000,0,0.0
2000-01-05 10:18:00,0,0,1,10000000,0,0.0
2000-01-05 23:35:00,0,0,6,2802,1,0.0
2000-01-06 00:38:00,0,0,6,10000000,0,0.0
2000-01-06 02:25:00,0,0,5,2802,2,0.2222222222222222
2000-01-06 02:30:00,0,0,4,694824,0,0.0
2000-01-06 05:52:00,0,0,2,10000000,0,0.0
2000-01-06 06:17:00,0,0,1,694824,0,0.0
2000-01-07 00:57:00,0,0,1,10000000,0,0.0
2000-01-07 01:49:00,0,0,1,10000000,1,0.0
2000-01-07 01:51:00,0,0,1,10000000,0,0.0
2000-01-07 04:22:00,0,0,1,10000000,1,1.0
2000-01-07 04:27:00,0,0,1,10000000,0,1.0
2000-01-07 05:56:00,0,0,1,515431,0,0.0
2000-01-07 08:53:00,0,0,1,515431,0,0.0
2000-01-07 10:18:00,0,0,1,10000000,1,1.0
2000-01-10 04:48:00,0,0,1,10000000,0,0.0
2000-01-10 09:08:00,0,0,17,10000000,1,0.0
2000-01-10 23:45:00,0,0,1,25436,0,0.0
2000-01-13 00:57:00,0,0,27,10000000,0,0.0
2000-01-13 01:20:00,0,0,1,10000000,0,0.0
2000-01-13 05:23:00,0,0,11,2802,3,0.45454545454545453
2000-01-14 06:21:00,0,0,1,10000000,0,0.0
2000-01-14 06:25:00,0,0,1,10000000,0,0.0
2000-01-14 07:00:00,0,0,1,10000000,0,0.0
2000-01-15 08:18:00,0,0,1,10000000,0,1.0
2000-01-17 01:17:00,0,0,1,287171,0,0.0
2000-01-17 02:31:00,0,0,2,10000000,1,0.0
2000-01-17 02:31:00,0,0,1,10000000,1,0.0
2000-01-17 03:26:00,0,0,1,10000000,0,0.0
2000-01-17 23:39:00,0,0,1,10000000,0,0.0
2000-01-18 01:24:00,0,0,1,10000000,2,1.0
2000-01-18 02:43:00,0,0,1,10000000,2,0.0
2000-01-18 09:45:00,0,0,1,10000000,0,0.0
2000-01-18 10:06:00,0,0,1,10000000,0,0.0
2000-01-19 04:49:00,0,0,1,10000000,0,0.0
2000-01-19 06:40:00,0,0,1,10000000,3,1.0
2000-01-19 10:56:00,0,0,1,10000000,3,1.0
2000-01-20 03:17:00,0,1,1,10000000,0,0.0
2000-01-20 09:00:00,0,0,1,985795,0,0.0
2000-01-20 09:46:00,0,0,1,10000000,0,0.0
2000-01-20 09:55:00,0,1,1,68116,0,0.0
2000-01-20 23:16:00,0,0,2,10000000,1,0.0
2000-01-21 02:24:00,0,0,1,10000000,0,0.0
2000-01-21 04:33:00,0,0,1,10000000,0,0.0
2000-01-21 04:51:00,0,0,1,985795,1,0.0
2000-01-21 07:13:00,0,0,1,10000000,4,1.0
2000-01-21 09:03:00,0,0,1,985795,1,1.0
2000-01-21 10:54:00,0,0,1,985795,1,0.0
2000-01-23 10:17:00,0,0,1,10000000,0,0.0
2000-01-23 10:19:00,0,0,1,10000000,0,0.0
